period,stock_symbol,free_cash_flow,end_cash_position,begin_cash_position,changes_in_cash,operating_cashflow,cashflow_from_cont_operation
2022-12-31 00:00:00,CME,2966300000.00,137974300000.00,160789800000.00,-22815500000.00,3056000000.00,3056000000.00
2021-12-31 00:00:00,CME,2275200000.00,160789800000.00,88420300000.00,72369500000.00,2402400000.00,2402400000.00
2020-12-31 00:00:00,CME,2518100000.00,88420300000.00,38633600000.00,49786700000.00,2715600000.00,2715600000.00
2019-12-31 00:00:00,CME,,,,,,
2023-12-31 00:00:00,CMS,-265000000.00,248000000.00,182000000.00,66000000.00,2309000000.00,2309000000.00
2022-12-31 00:00:00,CMS,-1626000000.00,182000000.00,476000000.00,-294000000.00,855000000.00,855000000.00
2021-12-31 00:00:00,CMS,-390000000.00,476000000.00,185000000.00,291000000.00,1819000000.00,1930000000.00
2020-12-31 00:00:00,CMS,-1164000000.00,185000000.00,157000000.00,28000000.00,1276000000.00,1243000000.00
2019-12-31 00:00:00,CMS,,,,,,
2023-12-31 00:00:00,KO,9747000000.00,9692000000.00,9825000000.00,-60000000.00,11599000000.00,11599000000.00
2022-12-31 00:00:00,KO,9534000000.00,9825000000.00,10025000000.00,5000000.00,11018000000.00,11018000000.00
2021-12-31 00:00:00,KO,11258000000.00,10025000000.00,7110000000.00,3074000000.00,12625000000.00,12625000000.00
2020-12-31 00:00:00,KO,8667000000.00,7110000000.00,6737000000.00,297000000.00,9844000000.00,9844000000.00
2019-12-31 00:00:00,KO,,,,,,
2023-12-31 00:00:00,CTSH,2013000000.00,2717000000.00,2294000000.00,390000000.00,2330000000.00,2330000000.00
2022-12-31 00:00:00,CTSH,2236000000.00,2294000000.00,1792000000.00,523000000.00,2568000000.00,2568000000.00
2021-12-31 00:00:00,CTSH,2216000000.00,1792000000.00,2680000000.00,-872000000.00,2495000000.00,2495000000.00
2020-12-31 00:00:00,CTSH,2901000000.00,2680000000.00,2645000000.00,52000000.00,3299000000.00,3299000000.00
2019-12-31 00:00:00,CTSH,,,,,,
2023-12-31 00:00:00,CL,3040000000.00,966000000.00,775000000.00,210000000.00,3745000000.00,3745000000.00
2022-12-31 00:00:00,CL,1860000000.00,775000000.00,832000000.00,3000000.00,2556000000.00,2556000000.00
2021-12-31 00:00:00,CL,2758000000.00,832000000.00,888000000.00,-41000000.00,3325000000.00,3325000000.00
2020-12-31 00:00:00,CL,3309000000.00,888000000.00,883000000.00,21000000.00,3719000000.00,3719000000.00
2019-12-31 00:00:00,CL,,,,,,
2023-12-31 00:00:00,CMCSA,12961000000.00,6282000000.00,4782000000.00,1491000000.00,28501000000.00,28501000000.00
2022-12-31 00:00:00,CMCSA,12646000000.00,4782000000.00,8778000000.00,-3910000000.00,26413000000.00,26413000000.00
2021-12-31 00:00:00,CMCSA,17089000000.00,8778000000.00,11768000000.00,-2919000000.00,29146000000.00,29147000000.00
2020-12-31 00:00:00,CMCSA,13103000000.00,11768000000.00,5589000000.00,6177000000.00,24737000000.00,24737000000.00
2024-05-31 00:00:00,CAG,1627500000.00,77700000.00,93300000.00,-16100000.00,2015600000.00,2015600000.00
2023-05-31 00:00:00,CAG,633200000.00,93300000.00,82200000.00,8900000.00,995400000.00,995400000.00
2022-05-31 00:00:00,CAG,712900000.00,82200000.00,79100000.00,4400000.00,1177300000.00,1177300000.00
2021-05-31 00:00:00,CAG,961700000.00,80200000.00,554300000.00,-481800000.00,1468100000.00,167200000.00
2020-05-31 00:00:00,CAG,,,,,,
2023-12-31 00:00:00,COP,8717000000.00,5899000000.00,6694000000.00,-696000000.00,19965000000.00,19965000000.00
2022-12-31 00:00:00,COP,18155000000.00,6694000000.00,5398000000.00,1520000000.00,28314000000.00,28314000000.00
2021-12-31 00:00:00,COP,11672000000.00,5398000000.00,3315000000.00,2117000000.00,16996000000.00,16996000000.00
2020-12-31 00:00:00,COP,87000000.00,3315000000.00,5362000000.00,-2027000000.00,4802000000.00,4802000000.00
2019-12-31 00:00:00,COP,,,,,,
2023-12-31 00:00:00,ED,-2338000000.00,1195000000.00,1530000000.00,-335000000.00,2156000000.00,2156000000.00
2022-12-31 00:00:00,ED,-233000000.00,1530000000.00,1146000000.00,384000000.00,3935000000.00,3935000000.00
2021-12-31 00:00:00,ED,-1220000000.00,1146000000.00,1436000000.00,-290000000.00,2733000000.00,2733000000.00
2020-12-31 00:00:00,ED,-1711000000.00,1436000000.00,1217000000.00,219000000.00,2198000000.00,2198000000.00
2019-12-31 00:00:00,ED,,,,,,
2024-02-29 00:00:00,STZ,1510900000.00,152400000.00,133500000.00,19500000.00,2780000000.00,2780000000.00
2023-02-28 00:00:00,STZ,1721500000.00,133500000.00,199400000.00,-62400000.00,2756900000.00,2756900000.00
2022-02-28 00:00:00,STZ,1678600000.00,199400000.00,460600000.00,-259900000.00,2705400000.00,2705400000.00
2021-02-28 00:00:00,STZ,1941900000.00,460600000.00,81400000.00,372000000.00,2806500000.00,2806500000.00
2020-02-29 00:00:00,STZ,,,,,,
2023-12-31 00:00:00,CEG,-7723000000.00,454000000.00,528000000.00,-74000000.00,-5301000000.00,-5301000000.00
2022-12-31 00:00:00,CEG,-4042000000.00,528000000.00,576000000.00,-48000000.00,-2353000000.00,-2353000000.00
2021-12-31 00:00:00,CEG,-2667000000.00,576000000.00,327000000.00,249000000.00,-1338000000.00,-1338000000.00
2020-12-31 00:00:00,CEG,-1163000000.00,327000000.00,449000000.00,-122000000.00,584000000.00,584000000.00
2019-12-31 00:00:00,CEG,,,,,,
2023-10-31 00:00:00,COO,215000000.00,120900000.00,138600000.00,-15400000.00,607500000.00,607500000.00
2022-10-31 00:00:00,COO,450400000.00,138600000.00,96600000.00,54900000.00,692400000.00,692400000.00
2021-10-31 00:00:00,COO,524200000.00,96600000.00,116800000.00,-23100000.00,738600000.00,738600000.00
2020-10-31 00:00:00,COO,176200000.00,116800000.00,89500000.00,26600000.00,486600000.00,486600000.00
2019-10-31 00:00:00,COO,,,,,,
2024-07-31 00:00:00,CPRT,961574000.00,1514111000.00,957395000.00,551758000.00,1472564000.00,1472564000.00
2023-07-31 00:00:00,CPRT,847574000.00,957395000.00,1384236000.00,-461224000.00,1364210000.00,1364210000.00
2022-07-31 00:00:00,CPRT,839235000.00,1384236000.00,1048260000.00,351680000.00,1176683000.00,1176683000.00
2021-07-31 00:00:00,CPRT,527895000.00,1048260000.00,477718000.00,566347000.00,990891000.00,990891000.00
2020-07-31 00:00:00,CPRT,,,,,,
2023-12-31 00:00:00,GLW,615000000.00,1779000000.00,1671000000.00,122000000.00,2005000000.00,2005000000.00
2022-12-31 00:00:00,GLW,1011000000.00,1671000000.00,2148000000.00,-389000000.00,2615000000.00,2615000000.00
2021-12-31 00:00:00,GLW,1775000000.00,2148000000.00,2672000000.00,-459000000.00,3412000000.00,3412000000.00
2020-12-31 00:00:00,GLW,803000000.00,2672000000.00,2434000000.00,141000000.00,2180000000.00,2180000000.00
2019-12-31 00:00:00,GLW,,,,,,
2023-12-31 00:00:00,CPAY,1947310000.00,3141535000.00,2289180000.00,822198000.00,2101132000.00,2101132000.00
2022-12-31 00:00:00,CPAY,603369000.00,2289180000.00,2250695000.00,75224000.00,754797000.00,754797000.00
2021-12-31 00:00:00,CPAY,1085533000.00,2250695000.00,1476619000.00,825060000.00,1197063000.00,1197063000.00
2020-12-31 00:00:00,CPAY,1394164000.00,1476619000.00,1675237000.00,-50461000.00,1472589000.00,1472589000.00
2019-12-31 00:00:00,CPAY,,,,,,
2023-12-31 00:00:00,CTVA,1174000000.00,3158000000.00,3618000000.00,-317000000.00,1769000000.00,1809000000.00
2022-12-31 00:00:00,CTVA,267000000.00,3618000000.00,4836000000.00,-940000000.00,872000000.00,912000000.00
2021-12-31 00:00:00,CTVA,2154000000.00,4836000000.00,3873000000.00,1099000000.00,2727000000.00,2769000000.00
2020-12-31 00:00:00,CTVA,1589000000.00,3873000000.00,2173000000.00,1693000000.00,2064000000.00,2064000000.00
2019-12-31 00:00:00,CTVA,,,,,,
2023-12-31 00:00:00,CSGP,464200000.00,5215900000.00,4968000000.00,247200000.00,489500000.00,489500000.00
2022-12-31 00:00:00,CSGP,420100000.00,4968000000.00,3827100000.00,1143600000.00,478700000.00,478700000.00
2021-12-31 00:00:00,CSGP,404511000.00,3827126000.00,3755912000.00,72709000.00,469731000.00,469731000.00
2020-12-31 00:00:00,CSGP,437759000.00,3755912000.00,1070731000.00,2684240000.00,486106000.00,486106000.00
2019-12-31 00:00:00,CSGP,,,,,,
2024-08-31 00:00:00,COST,6629000000.00,9906000000.00,13700000000.00,-3834000000.00,11339000000.00,11339000000.00
2023-08-31 00:00:00,COST,6745000000.00,13700000000.00,10203000000.00,3482000000.00,11068000000.00,11068000000.00
2022-08-31 00:00:00,COST,3501000000.00,10203000000.00,11258000000.00,-806000000.00,7392000000.00,7392000000.00
2021-08-31 00:00:00,COST,5370000000.00,11258000000.00,12277000000.00,-1065000000.00,8958000000.00,8958000000.00
2020-08-31 00:00:00,COST,,,,,,
2023-12-31 00:00:00,CTRA,1559000000.00,965000000.00,683000000.00,282000000.00,3658000000.00,3658000000.00
2022-12-31 00:00:00,CTRA,3746000000.00,683000000.00,1046000000.00,-363000000.00,5456000000.00,5456000000.00
2021-12-31 00:00:00,CTRA,939000000.00,1046000000.00,152000000.00,894000000.00,1667000000.00,1667000000.00
2020-12-31 00:00:00,CTRA,202000000.00,152000000.00,214000000.00,-62000000.00,778000000.00,778000000.00
2019-12-31 00:00:00,CTRA,,,,,,
2024-01-31 00:00:00,CRWD,929095000.00,3377597000.00,2456924000.00,918715000.00,1166207000.00,1166207000.00
2023-01-31 00:00:00,CRWD,674570000.00,2456924000.00,1996633000.00,461786000.00,941007000.00,941007000.00
2022-01-31 00:00:00,CRWD,441095000.00,1996633000.00,1918608000.00,82799000.00,574784000.00,574784000.00
2021-01-31 00:00:00,CRWD,292723000.00,1918608000.00,264798000.00,1652128000.00,356566000.00,356566000.00
2020-01-31 00:00:00,CRWD,,,,,,
2023-12-31 00:00:00,CCI,1702000000.00,281000000.00,327000000.00,-47000000.00,3126000000.00,3126000000.00
2022-12-31 00:00:00,CCI,1568000000.00,327000000.00,466000000.00,-139000000.00,2878000000.00,2878000000.00
2021-12-31 00:00:00,CCI,1498000000.00,466000000.00,381000000.00,85000000.00,2727000000.00,2789000000.00
2020-12-31 00:00:00,CCI,1431000000.00,381000000.00,338000000.00,43000000.00,3055000000.00,3055000000.00
2019-12-31 00:00:00,CCI,,,,,,
2023-12-31 00:00:00,CSX,3268000000.00,1353000000.00,1958000000.00,-605000000.00,5549000000.00,5549000000.00
2022-12-31 00:00:00,CSX,3486000000.00,1958000000.00,2239000000.00,-281000000.00,5619000000.00,5619000000.00
2021-12-31 00:00:00,CSX,3308000000.00,2239000000.00,3129000000.00,-890000000.00,5099000000.00,5099000000.00
2020-12-31 00:00:00,CSX,2637000000.00,3129000000.00,958000000.00,2171000000.00,4263000000.00,4263000000.00
2019-12-31 00:00:00,CSX,,,,,,
2023-12-31 00:00:00,CMI,2753000000.00,2179000000.00,2101000000.00,146000000.00,3966000000.00,3966000000.00
2022-12-31 00:00:00,CMI,1046000000.00,2101000000.00,2592000000.00,-541000000.00,1962000000.00,1962000000.00
2021-12-31 00:00:00,CMI,1522000000.00,2592000000.00,3401000000.00,-844000000.00,2256000000.00,2256000000.00
2020-12-31 00:00:00,CMI,2147000000.00,3401000000.00,1129000000.00,2283000000.00,2722000000.00,2722000000.00
2019-12-31 00:00:00,CMI,,,,,,
2023-12-31 00:00:00,CVS,10395000000.00,8525000000.00,13305000000.00,-4780000000.00,13426000000.00,13426000000.00
2022-12-31 00:00:00,CVS,13450000000.00,13305000000.00,12691000000.00,614000000.00,16177000000.00,16177000000.00
2021-12-31 00:00:00,CVS,15745000000.00,12691000000.00,11043000000.00,1648000000.00,18265000000.00,18265000000.00
2020-12-31 00:00:00,CVS,13428000000.00,11043000000.00,8408000000.00,2635000000.00,15865000000.00,15865000000.00
2019-12-31 00:00:00,CVS,,,,,,
2023-12-31 00:00:00,DHR,5781000000.00,5864000000.00,5995000000.00,-190000000.00,7164000000.00,6490000000.00
2022-12-31 00:00:00,DHR,7401000000.00,5995000000.00,2586000000.00,3715000000.00,8519000000.00,7613000000.00
2021-12-31 00:00:00,DHR,7118000000.00,2586000000.00,6035000000.00,-3334000000.00,8358000000.00,7423000000.00
2020-12-31 00:00:00,DHR,5417000000.00,6035000000.00,19912000000.00,-14025000000.00,6208000000.00,6215000000.00
2019-12-31 00:00:00,DHR,,,,,,
2024-05-31 00:00:00,DRI,983600000.00,220100000.00,416200000.00,-196100000.00,1611900000.00,1621700000.00
2023-05-31 00:00:00,DRI,951300000.00,416200000.00,472100000.00,-55900000.00,1545600000.00,1552800000.00
2022-05-31 00:00:00,DRI,853600000.00,472100000.00,1214700000.00,-742600000.00,1256100000.00,1264600000.00
2021-05-31 00:00:00,DRI,923700000.00,1214700000.00,763300000.00,451400000.00,1194000000.00,1193500000.00
2020-05-31 00:00:00,DRI,,,,,,
2023-12-31 00:00:00,DVA,1491046000.00,464634000.00,338989000.00,116736000.00,2059031000.00,2059031000.00
2022-12-31 00:00:00,DVA,961141000.00,338989000.00,554960000.00,-186905000.00,1564570000.00,1564570000.00
2021-12-31 00:00:00,DVA,1289411000.00,554960000.00,501790000.00,63177000.00,1930876000.00,1930876000.00
2020-12-31 00:00:00,DVA,1304487000.00,501790000.00,1208718000.00,-693120000.00,1979028000.00,1979028000.00
2019-12-31 00:00:00,DVA,,,,,,
2023-12-31 00:00:00,DAY,105100000.00,3421400000.00,3151200000.00,258700000.00,219500000.00,219500000.00
2022-12-31 00:00:00,DAY,38100000.00,3151200000.00,2643300000.00,554700000.00,132600000.00,132600000.00
2021-12-31 00:00:00,DAY,-14900000.00,2643300000.00,2835000000.00,-170400000.00,48800000.00,48800000.00
2020-12-31 00:00:00,DAY,-90000000.00,2228500000.00,1658600000.00,573900000.00,-30200000.00,-30200000.00
2019-12-31 00:00:00,DAY,,,,,,
2024-03-31 00:00:00,DECK,943819000.00,1502051000.00,981795000.00,526178000.00,1033184000.00,1033184000.00
2023-03-31 00:00:00,DECK,456397000.00,981795000.00,843527000.00,147378000.00,537422000.00,537422000.00
2022-03-31 00:00:00,DECK,121336000.00,843527000.00,1089361000.00,-246138000.00,172353000.00,172353000.00
2021-03-31 00:00:00,DECK,563999000.00,1089361000.00,649436000.00,434467000.00,596217000.00,596217000.00
2020-03-31 00:00:00,DECK,,,,,,
2023-10-31 00:00:00,DE,4121000000.00,7620000000.00,4941000000.00,2648000000.00,8589000000.00,8589000000.00
2022-10-31 00:00:00,DE,911000000.00,4941000000.00,8125000000.00,-2960000000.00,4699000000.00,4699000000.00
2021-10-31 00:00:00,DE,5146000000.00,8125000000.00,7172000000.00,898000000.00,7726000000.00,7726000000.00
2020-10-31 00:00:00,DE,4827000000.00,7172000000.00,3956000000.00,3184000000.00,7483000000.00,7483000000.00
2019-10-31 00:00:00,DE,,,,,,
2023-12-31 00:00:00,DAL,1141000000.00,3395000000.00,3473000000.00,-78000000.00,6464000000.00,6464000000.00
2022-12-31 00:00:00,DAL,-3000000.00,3473000000.00,8569000000.00,-5096000000.00,6363000000.00,6363000000.00
2021-12-31 00:00:00,DAL,17000000.00,8569000000.00,10055000000.00,-1486000000.00,3264000000.00,3264000000.00
2020-12-31 00:00:00,DAL,-5692000000.00,10055000000.00,3730000000.00,6325000000.00,-3793000000.00,-3793000000.00
2019-12-31 00:00:00,DAL,,,,,,
2023-12-31 00:00:00,DVN,2597000000.00,875000000.00,1454000000.00,-582000000.00,6544000000.00,6544000000.00
2022-12-31 00:00:00,DVN,3405000000.00,1454000000.00,2271000000.00,-806000000.00,8530000000.00,8530000000.00
2021-12-31 00:00:00,DVN,2892000000.00,2271000000.00,2237000000.00,33000000.00,4899000000.00,4899000000.00
2020-12-31 00:00:00,DVN,193000000.00,2237000000.00,1844000000.00,402000000.00,1354000000.00,1464000000.00
2019-12-31 00:00:00,DVN,,,,,,
2023-12-31 00:00:00,DXCM,511900000.00,567500000.00,643300000.00,-77300000.00,748500000.00,748500000.00
2022-12-31 00:00:00,DXCM,304700000.00,643300000.00,1053600000.00,-404500000.00,669500000.00,669500000.00
2021-12-31 00:00:00,DXCM,53300000.00,1053600000.00,818200000.00,236800000.00,442500000.00,442500000.00
2020-12-31 00:00:00,DXCM,276600000.00,818200000.00,446400000.00,369700000.00,475600000.00,475600000.00
2019-12-31 00:00:00,DXCM,,,,,,
2023-12-31 00:00:00,FANG,1206000000.00,585000000.00,164000000.00,421000000.00,5920000000.00,5920000000.00
2022-12-31 00:00:00,FANG,2712000000.00,164000000.00,672000000.00,-508000000.00,6325000000.00,6325000000.00
2021-12-31 00:00:00,FANG,1670000000.00,672000000.00,108000000.00,564000000.00,3944000000.00,3944000000.00
2020-12-31 00:00:00,FANG,74000000.00,108000000.00,128000000.00,-20000000.00,2118000000.00,2118000000.00
2019-12-31 00:00:00,FANG,,,,,,
2023-12-31 00:00:00,DLR,1634780000.00,1636470000.00,150696000.00,1483143000.00,1634780000.00,1634780000.00
2022-12-31 00:00:00,DLR,1659388000.00,150696000.00,151485000.00,-70866000.00,1659388000.00,1659388000.00
2021-12-31 00:00:00,DLR,1702228000.00,151485000.00,123652000.00,49877000.00,1702228000.00,1702228000.00
2020-12-31 00:00:00,DLR,1706541000.00,123652000.00,97253000.00,42883000.00,1706541000.00,1706541000.00
2019-12-31 00:00:00,DLR,,,,,,
2023-12-31 00:00:00,DFS,8260000000.00,11728000000.00,8897000000.00,2831000000.00,8563000000.00,8563000000.00
2022-12-31 00:00:00,DFS,6904000000.00,8897000000.00,11332000000.00,-2435000000.00,7140000000.00,7140000000.00
2021-12-31 00:00:00,DFS,5825000000.00,11332000000.00,13589000000.00,-2257000000.00,6019000000.00,6019000000.00
2020-12-31 00:00:00,DFS,5935000000.00,13589000000.00,6964000000.00,6625000000.00,6196000000.00,6196000000.00
2019-12-31 00:00:00,DFS,,,,,,
2024-01-31 00:00:00,DG,691576000.00,537283000.00,381576000.00,155707000.00,2391798000.00,2391798000.00
2023-01-31 00:00:00,DG,423973000.00,381576000.00,344829000.00,36747000.00,1984555000.00,1984555000.00
2022-01-31 00:00:00,DG,1795351000.00,344829000.00,1376577000.00,-1031748000.00,2865811000.00,2865811000.00
2021-01-31 00:00:00,DG,2848196000.00,1376577000.00,240320000.00,1136257000.00,3876159000.00,3876159000.00
2020-01-31 00:00:00,DG,,,,,,
2024-01-31 00:00:00,DLTR,576900000.00,757200000.00,711300000.00,46900000.00,2684500000.00,2684500000.00
2023-01-31 00:00:00,DLTR,361000000.00,711300000.00,1038300000.00,-325800000.00,1614800000.00,1614800000.00
2022-01-31 00:00:00,DLTR,408700000.00,1038300000.00,1463600000.00,-424900000.00,1431500000.00,1431500000.00
2021-01-31 00:00:00,DLTR,1817500000.00,1463600000.00,586000000.00,876700000.00,2716300000.00,2716300000.00
2020-01-31 00:00:00,DLTR,,,,,,
2023-12-31 00:00:00,D,-3639000000.00,301000000.00,341000000.00,-40000000.00,6572000000.00,6572000000.00
2022-12-31 00:00:00,D,-3891000000.00,341000000.00,408000000.00,-67000000.00,3700000000.00,3700000000.00
2021-12-31 00:00:00,D,-1923000000.00,408000000.00,247000000.00,161000000.00,4037000000.00,4037000000.00
2020-12-31 00:00:00,D,-793000000.00,247000000.00,269000000.00,-22000000.00,5227000000.00,5227000000.00
