period,stock_symbol,ordinary_shares_number,share_issued,total_debt,cash_and_cash_equivalents
2020-12-31 00:00:00,BX,703959789.00,703959789.00,6342305000.00,1999484000.00
2019-12-31 00:00:00,BX,,,,
2023-12-31 00:00:00,BA,609515023.00,1012261159.00,52603000000.00,12691000000.00
2022-12-31 00:00:00,BA,597589776.00,1012261159.00,57277000000.00,14614000000.00
2021-12-31 00:00:00,BA,588917452.00,1012261159.00,58370000000.00,8052000000.00
2020-12-31 00:00:00,BA,582320138.00,1012261159.00,63851000000.00,7752000000.00
2019-12-31 00:00:00,BA,,,,
2023-12-31 00:00:00,BKNG,34397649.00,64048000.00,14783000000.00,12107000000.00
2022-12-31 00:00:00,BKNG,37862970.00,63780528.00,13037000000.00,12221000000.00
2021-12-31 00:00:00,BKNG,41066053.00,63584444.00,11277000000.00,11127000000.00
2020-12-31 00:00:00,BKNG,40959554.00,63406451.00,12380000000.00,10562000000.00
2019-12-31 00:00:00,BKNG,,,,
2023-12-31 00:00:00,BWA,229783795.00,283575876.00,3929000000.00,1534000000.00
2022-12-31 00:00:00,BWA,234122211.00,283575876.00,4307000000.00,1083000000.00
2021-12-31 00:00:00,BWA,239776892.00,283575876.00,4522000000.00,1844000000.00
2020-12-31 00:00:00,BWA,238930703.00,283575876.00,4006000000.00,1650000000.00
2019-12-31 00:00:00,BWA,,,,
2023-12-31 00:00:00,BSX,1465710376.00,1729000224.00,9492000000.00,865000000.00
2022-12-31 00:00:00,BSX,1433344145.00,1696633993.00,9282000000.00,928000000.00
2021-12-31 00:00:00,BSX,1425520204.00,1688810052.00,9451000000.00,1925000000.00
2020-12-31 00:00:00,BSX,1416622070.00,1679911918.00,9539000000.00,1734000000.00
2019-12-31 00:00:00,BSX,,,,
2023-12-31 00:00:00,BMY,2021000000.00,2923000000.00,41464000000.00,11464000000.00
2022-12-31 00:00:00,BMY,2075000000.00,2900000000.00,40717000000.00,9123000000.00
2021-12-31 00:00:00,BMY,2153000000.00,2900000000.00,45596000000.00,13979000000.00
2020-12-31 00:00:00,BMY,2221000000.00,2900000000.00,51673000000.00,14546000000.00
2019-12-31 00:00:00,BMY,,,,
2023-10-31 00:00:00,AVGO,4140000000.00,4140000000.00,39229000000.00,14189000000.00
2022-10-31 00:00:00,AVGO,4180000000.00,4180000000.00,39515000000.00,12416000000.00
2021-10-31 00:00:00,AVGO,4130000000.00,4130000000.00,39730000000.00,12163000000.00
2020-10-31 00:00:00,AVGO,4070000000.00,4070000000.00,41062000000.00,7618000000.00
2019-10-31 00:00:00,AVGO,,,,
2024-06-30 00:00:00,BR,116700000.00,154500000.00,3576900000.00,304400000.00
2023-06-30 00:00:00,BR,118100000.00,154500000.00,3652600000.00,252300000.00
2022-06-30 00:00:00,BR,117300000.00,154500000.00,4066200000.00,224700000.00
2021-06-30 00:00:00,BR,116125688.00,154425688.00,4190900000.00,274500000.00
2020-06-30 00:00:00,BR,,,,
2023-12-31 00:00:00,BRO,284600000.00,304300000.00,4019600000.00,700300000.00
2022-12-31 00:00:00,BRO,283200000.00,302900000.00,4183000000.00,650000000.00
2021-12-31 00:00:00,BRO,282496000.00,300993000.00,2246300000.00,693200000.00
2020-12-31 00:00:00,BRO,283004000.00,299689000.00,2312383000.00,817398000.00
2019-12-31 00:00:00,BRO,,,,
2023-12-31 00:00:00,BLDR,121857000.00,121857000.00,3713358000.00,66156000.00
2022-12-31 00:00:00,BLDR,138864000.00,138864000.00,3489418000.00,80445000.00
2021-12-31 00:00:00,BLDR,179820000.00,179820000.00,3401751000.00,42603000.00
2020-12-31 00:00:00,BLDR,116829000.00,116829000.00,1905104000.00,423806000.00
2019-12-31 00:00:00,BLDR,,,,
2023-12-31 00:00:00,BG,149907932.00,166017736.00,5756000000.00,2602000000.00
2022-12-31 00:00:00,BG,149907932.00,168743744.00,5623000000.00,1104000000.00
2021-12-31 00:00:00,BG,141057414.00,157784111.00,6820000000.00,902000000.00
2020-12-31 00:00:00,BG,139790238.00,155218551.00,8104000000.00,352000000.00
2019-12-31 00:00:00,BG,,,,
2023-12-31 00:00:00,BXP,156940866.00,157019766.00,16624649000.00,1531477000.00
2022-12-31 00:00:00,BXP,156757867.00,156836767.00,14694357000.00,690333000.00
2021-12-31 00:00:00,BXP,156544849.00,156623749.00,13345591000.00,452692000.00
2020-12-31 00:00:00,BXP,155718825.00,155797725.00,13485963000.00,1668742000.00
2019-12-31 00:00:00,BXP,,,,
2023-12-31 00:00:00,CHRW,116768000.00,179204000.00,1952501000.00,145524000.00
2022-12-31 00:00:00,CHRW,116323000.00,179204000.00,2361168000.00,217482000.00
2021-12-31 00:00:00,CHRW,129186000.00,179206000.00,2226329000.00,257413000.00
2020-12-31 00:00:00,CHRW,134298000.00,179232000.00,1428047000.00,243796000.00
2019-12-31 00:00:00,CHRW,,,,
2023-12-31 00:00:00,CDNS,271706000.00,329159000.00,764414000.00,1008152000.00
2022-12-31 00:00:00,CDNS,272675000.00,329160000.00,887415000.00,882325000.00
2021-12-31 00:00:00,CDNS,276796000.00,329159000.00,454709000.00,1088940000.00
2020-12-31 00:00:00,CDNS,278941000.00,329160000.00,460709000.00,928432000.00
2019-12-31 00:00:00,CDNS,,,,
2023-12-31 00:00:00,CZR,215800650.00,216163666.00,25071000000.00,1005000000.00
2022-12-31 00:00:00,CZR,214671754.00,215034770.00,25427000000.00,1038000000.00
2021-12-31 00:00:00,CZR,213779848.00,213779848.00,26265000000.00,1070000000.00
2020-12-31 00:00:00,CZR,208049417.00,208273240.00,26488000000.00,1776000000.00
2019-12-31 00:00:00,CZR,,,,
2023-12-31 00:00:00,CPT,106800000.00,115659556.00,3715400000.00,259686000.00
2022-12-31 00:00:00,CPT,106500000.00,115590000.00,3680900000.00,10687000.00
2021-12-31 00:00:00,CPT,103300000.00,112536000.00,3170367000.00,613391000.00
2020-12-31 00:00:00,CPT,97400000.00,106842000.00,3166625000.00,420441000.00
2019-12-31 00:00:00,CPT,,,,
2024-07-31 00:00:00,CPB,298553885.00,323553885.00,7542000000.00,108000000.00
2023-07-31 00:00:00,CPB,298000000.00,323000000.00,4967000000.00,189000000.00
2022-07-31 00:00:00,CPB,299000000.00,323000000.00,5048000000.00,109000000.00
2021-07-31 00:00:00,CPB,302000000.00,323000000.00,5292000000.00,69000000.00
2020-07-31 00:00:00,CPB,,,,
2023-12-31 00:00:00,COF,380389609.00,696242668.00,49318000000.00,43297000000.00
2022-12-31 00:00:00,COF,381318702.00,690334422.00,47832000000.00,30856000000.00
2021-12-31 00:00:00,COF,413858537.00,685057944.00,42266000000.00,21746000000.00
2020-12-31 00:00:00,COF,458972202.00,679932837.00,39871000000.00,40509000000.00
2019-12-31 00:00:00,COF,,,,
2024-06-30 00:00:00,CAH,244000000.00,327000000.00,5092000000.00,5133000000.00
2023-06-30 00:00:00,CAH,251000000.00,327000000.00,4701000000.00,4076000000.00
2022-06-30 00:00:00,CAH,273000000.00,327000000.00,5315000000.00,4717000000.00
2021-06-30 00:00:00,CAH,291000000.00,327000000.00,6236000000.00,3407000000.00
2020-06-30 00:00:00,CAH,,,,
2024-02-29 00:00:00,KMX,157611939.00,157611939.00,19310476000.00,574142000.00
2023-02-28 00:00:00,KMX,158079033.00,158079033.00,18931720000.00,314758000.00
2022-02-28 00:00:00,KMX,161053983.00,161053983.00,19274757000.00,102716000.00
2021-02-28 00:00:00,KMX,163172333.00,163172333.00,15527069000.00,132319000.00
2020-02-29 00:00:00,KMX,,,,
2023-11-30 00:00:00,CCL,1264000000.00,1394000000.00,31891000000.00,2415000000.00
2022-11-30 00:00:00,CCL,1259000000.00,1389000000.00,35881000000.00,4029000000.00
2021-11-30 00:00:00,CCL,1136000000.00,1266000000.00,34607000000.00,8939000000.00
2020-11-30 00:00:00,CCL,1086735643.00,1216735643.00,28380000000.00,9513000000.00
2019-11-30 00:00:00,CCL,,,,
2023-12-31 00:00:00,CARR,839910275.00,883068393.00,14684000000.00,10015000000.00
2022-12-31 00:00:00,CARR,834664966.00,876768961.00,9371000000.00,3520000000.00
2021-12-31 00:00:00,CARR,863039097.00,873414751.00,10223000000.00,2987000000.00
2020-12-31 00:00:00,CARR,867829119.00,867829119.00,10869000000.00,3115000000.00
2019-12-31 00:00:00,CARR,,,,
2024-06-30 00:00:00,CTLT,180979849.00,180979849.00,4918000000.00,289000000.00
2023-06-30 00:00:00,CTLT,180273000.00,180273000.00,4860000000.00,280000000.00
2022-06-30 00:00:00,CTLT,179000000.00,179000000.00,4216000000.00,449000000.00
2021-06-30 00:00:00,CTLT,170500000.00,170500000.00,3257000000.00,896000000.00
2020-06-30 00:00:00,CTLT,,,,
2023-12-31 00:00:00,CAT,499377269.00,814894624.00,37878000000.00,6978000000.00
2022-12-31 00:00:00,CAT,516345490.00,814894624.00,36993000000.00,7004000000.00
2021-12-31 00:00:00,CAT,535888051.00,814894624.00,37789000000.00,9254000000.00
2020-12-31 00:00:00,CAT,545303847.00,814894624.00,37163000000.00,9352000000.00
2019-12-31 00:00:00,CAT,,,,
2023-12-31 00:00:00,CBOE,105527815.00,105556817.00,1610800000.00,543200000.00
2022-12-31 00:00:00,CBOE,105951199.00,107670248.00,1871300000.00,432700000.00
2021-12-31 00:00:00,CBOE,106646498.00,108159319.00,1428500000.00,341900000.00
2020-12-31 00:00:00,CBOE,107299933.00,125998967.00,1336000000.00,245400000.00
2019-12-31 00:00:00,CBOE,,,,
2023-12-31 00:00:00,CBRE,304889140.00,304889140.00,4826000000.00,1265000000.00
2022-12-31 00:00:00,CBRE,311014160.00,311014160.00,3493000000.00,1318000000.00
2021-12-31 00:00:00,CBRE,332875959.00,332875959.00,4197227000.00,2430951000.00
2020-12-31 00:00:00,CBRE,335561345.00,335561345.00,4096331000.00,1896188000.00
2019-12-31 00:00:00,CBRE,,,,
2023-12-31 00:00:00,CDW,134100000.00,134100000.00,5808900000.00,588700000.00
2022-12-31 00:00:00,CDW,135500000.00,135500000.00,6097900000.00,315200000.00
2021-12-31 00:00:00,CDW,134800000.00,134800000.00,7352800000.00,258100000.00
2020-12-31 00:00:00,CDW,141900000.00,141900000.00,4566300000.00,1410200000.00
2019-12-31 00:00:00,CDW,,,,
2023-12-31 00:00:00,CE,108906426.00,170476740.00,14098000000.00,1805000000.00
2022-12-31 00:00:00,CE,108473932.00,170135425.00,15126000000.00,1508000000.00
2021-12-31 00:00:00,CE,108023735.00,169760024.00,4204000000.00,536000000.00
2020-12-31 00:00:00,CE,114168464.00,169402979.00,3967000000.00,955000000.00
2019-12-31 00:00:00,CE,,,,
2023-09-30 00:00:00,COR,200814804.00,294822962.00,4787457000.00,2592051000.00
2022-09-30 00:00:00,COR,206203817.00,292700490.00,5702833000.00,3388189000.00
2021-09-30 00:00:00,COR,208089298.00,290722533.00,6683924000.00,2547142000.00
2020-09-30 00:00:00,COR,204226465.00,287790479.00,4119520000.00,4597746000.00
2023-12-31 00:00:00,CNC,534484000.00,615291000.00,18877000000.00,17193000000.00
2022-12-31 00:00:00,CNC,550754000.00,607847000.00,21333000000.00,12074000000.00
2021-12-31 00:00:00,CNC,582479000.00,602704000.00,22661000000.00,13118000000.00
2020-12-31 00:00:00,CNC,581479000.00,598249000.00,16779000000.00,10800000000.00
2019-12-31 00:00:00,CNC,,,,
2023-12-31 00:00:00,CNP,631225829.00,631225995.00,18618000000.00,90000000.00
2022-12-31 00:00:00,CNP,629535631.00,629535631.00,16856000000.00,74000000.00
2021-12-31 00:00:00,CNP,628923534.00,628923534.00,16103000000.00,230000000.00
2020-12-31 00:00:00,CNP,551355861.00,551355861.00,13440000000.00,147000000.00
2019-12-31 00:00:00,CNP,,,,
2023-12-31 00:00:00,CF,188188401.00,188188401.00,3232000000.00,2032000000.00
2022-12-31 00:00:00,CF,195604404.00,195604404.00,3225000000.00,2323000000.00
2021-12-31 00:00:00,CF,207575978.00,207603940.00,3716000000.00,1628000000.00
2020-12-31 00:00:00,CF,213954858.00,214057701.00,4223000000.00,683000000.00
2019-12-31 00:00:00,CF,,,,
2023-12-31 00:00:00,CRL,51338000.00,51338000.00,3066381000.00,276771000.00
2022-12-31 00:00:00,CRL,50944000.00,50944000.00,3097276000.00,233912000.00
2021-12-31 00:00:00,CRL,50480000.00,50480000.00,2916536000.00,241214000.00
2020-12-31 00:00:00,CRL,49767000.00,49767000.00,2160054000.00,228424000.00
2019-12-31 00:00:00,CRL,,,,
2023-12-31 00:00:00,SCHW,1823510423.00,2074188875.00,59081000000.00,43337000000.00
2022-12-31 00:00:00,SCHW,1853155833.00,2074188875.00,37878000000.00,40195000000.00
2021-12-31 00:00:00,SCHW,1893229601.00,2074188875.00,23769000000.00,62975000000.00
2020-12-31 00:00:00,SCHW,1880611227.00,2074188875.00,13632000000.00,40348000000.00
2019-12-31 00:00:00,SCHW,,,,
2023-12-31 00:00:00,CHTR,145225459.00,150614114.00,97777000000.00,709000000.00
2022-12-31 00:00:00,CHTR,152651397.00,152651397.00,97603000000.00,645000000.00
2021-12-31 00:00:00,CHTR,172741237.00,172741237.00,91830000000.00,601000000.00
2020-12-31 00:00:00,CHTR,193730993.00,193730993.00,82987000000.00,1001000000.00
2019-12-31 00:00:00,CHTR,,,,
2023-12-31 00:00:00,CVX,1851479804.00,2442676580.00,20836000000.00,8178000000.00
2022-12-31 00:00:00,CVX,1901048343.00,2442676580.00,23339000000.00,17678000000.00
2021-12-31 00:00:00,CVX,1915638057.00,2442676580.00,31369000000.00,5640000000.00
2020-12-31 00:00:00,CVX,1925186317.00,2442676580.00,44315000000.00,5596000000.00
2019-12-31 00:00:00,CVX,,,,
2023-12-31 00:00:00,CMG,1371300000.00,1874150000.00,4051625000.00,560609000.00
2022-12-31 00:00:00,CMG,1381350000.00,1866000000.00,3731410000.00,384000000.00
2021-12-31 00:00:00,CMG,1404000000.00,1856600000.00,3520314000.00,815374000.00
2020-12-31 00:00:00,CMG,1400050000.00,1835200000.00,3157052000.00,607987000.00
2019-12-31 00:00:00,CMG,,,,
2023-12-31 00:00:00,CB,405269637.00,431451586.00,14495000000.00,2449000000.00
2022-12-31 00:00:00,CB,414594856.00,446376614.00,14877000000.00,2012000000.00
2021-12-31 00:00:00,CB,426572612.00,474021114.00,16168000000.00,1659000000.00
2020-12-31 00:00:00,CB,450732625.00,477605264.00,14948000000.00,1747000000.00
2019-12-31 00:00:00,CB,,,,
2023-12-31 00:00:00,CHD,243152763.00,293709982.00,2406000000.00,344500000.00
2022-12-31 00:00:00,CHD,243895876.00,293709982.00,2673500000.00,270300000.00
2021-12-31 00:00:00,CHD,242545976.00,292855100.00,2562900000.00,240600000.00
2020-12-31 00:00:00,CHD,245360118.00,292855100.00,2163900000.00,183100000.00
2019-12-31 00:00:00,CHD,,,,
2023-12-31 00:00:00,CI,292504000.00,399894000.00,30930000000.00,7822000000.00
2022-12-31 00:00:00,CI,298676000.00,397819000.00,31093000000.00,5924000000.00
2021-12-31 00:00:00,CI,322948000.00,394194000.00,33670000000.00,5081000000.00
2020-12-31 00:00:00,CI,354771000.00,390276000.00,32919000000.00,10182000000.00
2019-12-31 00:00:00,CI,,,,
2023-12-31 00:00:00,CINF,157000000.00,198300000.00,874000000.00,907000000.00
2022-12-31 00:00:00,CINF,157100000.00,198300000.00,891000000.00,1264000000.00
2021-12-31 00:00:00,CINF,160300000.00,198300000.00,897000000.00,1139000000.00
2020-12-31 00:00:00,CINF,160900000.00,198300000.00,899000000.00,900000000.00
2019-12-31 00:00:00,CINF,,,,
2024-05-31 00:00:00,CTAS,405007976.00,773097184.00,2668080000.00,342015000.00
2023-05-31 00:00:00,CTAS,406928592.00,768795752.00,2668393000.00,124149000.00
2022-05-31 00:00:00,CTAS,406844860.00,763351684.00,2968442000.00,90471000.00
2021-05-31 00:00:00,CTAS,416245564.00,756284740.00,2716527000.00,493640000.00
2020-05-31 00:00:00,CTAS,,,,
2024-07-31 00:00:00,CSCO,4007000000.00,4007000000.00,30962000000.00,7508000000.00
2023-07-31 00:00:00,CSCO,4066000000.00,4066000000.00,8391000000.00,10123000000.00
2022-07-31 00:00:00,CSCO,4110000000.00,4110000000.00,9515000000.00,7079000000.00
2021-07-31 00:00:00,CSCO,4217000000.00,4217000000.00,11526000000.00,9175000000.00
2020-07-31 00:00:00,CSCO,,,,
2023-12-31 00:00:00,C,1903113839.00,3099691704.00,324076000000.00,260932000000.00
2022-12-31 00:00:00,C,1936986425.00,3099669424.00,318702000000.00,342025000000.00
2021-12-31 00:00:00,C,1984355194.00,3099651835.00,282347000000.00,262033000000.00
2020-12-31 00:00:00,C,2082089209.00,3099763661.00,301200000000.00,309615000000.00
2019-12-31 00:00:00,C,,,,
2023-12-31 00:00:00,CFG,466418055.00,647829720.00,13972000000.00,12033000000.00
2022-12-31 00:00:00,CFG,492282158.00,645220018.00,15890000000.00,10850000000.00
2021-12-31 00:00:00,CFG,422137197.00,571259135.00,7005000000.00,9474000000.00
2020-12-31 00:00:00,CFG,427209831.00,569876133.00,8358000000.00,13039000000.00
2019-12-31 00:00:00,CFG,,,,
2024-06-30 00:00:00,CLX,124201807.00,130741461.00,2903000000.00,202000000.00
2023-06-30 00:00:00,CLX,123820022.00,130741461.00,2924000000.00,367000000.00
2022-06-30 00:00:00,CLX,123152132.00,130741461.00,3103000000.00,183000000.00
2021-06-30 00:00:00,CLX,122780220.00,130741461.00,3166000000.00,319000000.00
2020-06-30 00:00:00,CLX,,,,
2023-12-31 00:00:00,CME,359234138.00,359234138.00,3425400000.00,2912000000.00
2022-12-31 00:00:00,CME,358932100.00,358932100.00,3438400000.00,2720100000.00
2021-12-31 00:00:00,CME,358602100.00,358602100.00,3445100000.00,2834900000.00
2020-12-31 00:00:00,CME,358113100.00,358113100.00,3443800000.00,1633200000.00
2019-12-31 00:00:00,CME,,,,
2023-12-31 00:00:00,CMS,294400000.00,294400000.00,15643000000.00,227000000.00
2022-12-31 00:00:00,CMS,291300000.00,291300000.00,14309000000.00,164000000.00
2021-12-31 00:00:00,CMS,289800000.00,289800000.00,12474000000.00,452000000.00
2020-12-31 00:00:00,CMS,288900000.00,288900000.00,12391000000.00,32000000.00
2019-12-31 00:00:00,CMS,,,,
2023-12-31 00:00:00,KO,4308000000.00,7040000000.00,42064000000.00,9366000000.00
2022-12-31 00:00:00,KO,4328000000.00,7040000000.00,39149000000.00,9519000000.00
2021-12-31 00:00:00,KO,4325128924.00,7040128924.00,42761000000.00,9684000000.00
2020-12-31 00:00:00,KO,4302128924.00,7040128924.00,42793000000.00,6795000000.00
2019-12-31 00:00:00,KO,,,,
2023-12-31 00:00:00,CTSH,498000000.00,498000000.00,1315000000.00,2621000000.00
2022-12-31 00:00:00,CTSH,509000000.00,509000000.00,1534000000.00,2191000000.00
2021-12-31 00:00:00,CTSH,525000000.00,525000000.00,1642000000.00,1792000000.00
2020-12-31 00:00:00,CTSH,530000000.00,530000000.00,1758000000.00,2680000000.00
2023-12-31 00:00:00,CL,821412769.00,1465706360.00,9064000000.00,966000000.00
2022-12-31 00:00:00,CL,830212606.00,1465706360.00,9271000000.00,775000000.00
2021-12-31 00:00:00,CL,840480284.00,1465706360.00,7833000000.00,832000000.00
2020-12-31 00:00:00,CL,849893601.00,1465706360.00,8214000000.00,888000000.00
2019-12-31 00:00:00,CL,,,,
2023-12-31 00:00:00,CMCSA,3978762306.00,4851553334.00,97090000000.00,6215000000.00
2022-12-31 00:00:00,CMCSA,4220119392.00,5092910420.00,99983000000.00,4749000000.00
2021-12-31 00:00:00,CMCSA,4533230325.00,5406021353.00,100020000000.00,8711000000.00
2020-12-31 00:00:00,CMCSA,4580656172.00,5453447200.00,108928000000.00,11740000000.00
2019-12-31 00:00:00,CMCSA,,,,
2024-05-31 00:00:00,CAG,478169096.00,584219229.00,8613500000.00,77700000.00
2023-05-31 00:00:00,CAG,477022783.00,584219229.00,9419200000.00,93300000.00
2022-05-31 00:00:00,CAG,480062060.00,584219229.00,9179200000.00,83300000.00
2021-05-31 00:00:00,CAG,480284390.00,584219229.00,9190800000.00,79200000.00
2020-05-31 00:00:00,CAG,,,,
2023-12-31 00:00:00,COP,1178101555.00,2103772516.00,18937000000.00,5635000000.00
2022-12-31 00:00:00,COP,1223856072.00,2100885134.00,16643000000.00,6458000000.00
2021-12-31 00:00:00,COP,1302242872.00,2091562747.00,19934000000.00,5028000000.00
2020-12-31 00:00:00,COP,1068042178.00,1798844267.00,15369000000.00,2991000000.00
2019-12-31 00:00:00,COP,,,,
2023-12-31 00:00:00,ED,345415772.00,379169735.00,25010000000.00,1189000000.00
2022-12-31 00:00:00,ED,354962058.00,378172758.00,24415000000.00,1282000000.00
2021-12-31 00:00:00,ED,353983712.00,377194412.00,25362000000.00,992000000.00
2020-12-31 00:00:00,ED,342297534.00,365508234.00,25079000000.00,1272000000.00
2019-12-31 00:00:00,ED,,,,
2024-02-29 00:00:00,STZ,182912078.00,212721959.00,12557600000.00,152400000.00
2023-02-28 00:00:00,STZ,183221707.00,212720133.00,12960100000.00,133500000.00
2022-02-28 00:00:00,STZ,189894471.00,217724878.00,10954200000.00,199400000.00
2021-02-28 00:00:00,STZ,194011154.00,216087504.00,10982200000.00,460600000.00
2020-02-29 00:00:00,STZ,,,,
2023-12-31 00:00:00,CEG,317000000.00,317000000.00,9261000000.00,368000000.00
2022-12-31 00:00:00,CEG,327000000.00,327000000.00,5768000000.00,422000000.00
2021-12-31 00:00:00,CEG,326000000.00,326000000.00,8196000000.00,504000000.00
2020-12-31 00:00:00,CEG,326000000.00,326000000.00,7212000000.00,226000000.00
2019-12-31 00:00:00,CEG,,,,
2023-10-31 00:00:00,COO,198096596.00,215696596.00,2569200000.00,120800000.00
2022-10-31 00:00:00,COO,197200000.00,215200000.00,2763400000.00,138200000.00
2021-10-31 00:00:00,COO,197200000.00,214800000.00,1481000000.00,95900000.00
2020-10-31 00:00:00,COO,196400000.00,213600000.00,2063300000.00,115900000.00
2019-10-31 00:00:00,COO,,,,
2024-07-31 00:00:00,CPRT,962967011.00,962967011.00,118733000.00,1514111000.00
2023-07-31 00:00:00,CPRT,957344162.00,957344162.00,120453000.00,957395000.00
2022-07-31 00:00:00,CPRT,952163896.00,952163896.00,119473000.00,1384236000.00
2021-07-31 00:00:00,CPRT,948057092.00,948057092.00,518069000.00,1048260000.00
2020-07-31 00:00:00,CPRT,,,,
2023-12-31 00:00:00,GLW,853174879.00,1833174879.00,8484000000.00,1779000000.00
2022-12-31 00:00:00,GLW,823000000.00,1800000000.00,7817000000.00,1671000000.00
2021-12-31 00:00:00,GLW,830000000.00,1800000000.00,7829000000.00,2148000000.00
2020-12-31 00:00:00,GLW,765000000.00,1726000000.00,8701000000.00,2672000000.00
2019-12-31 00:00:00,GLW,,,,
2023-12-31 00:00:00,CPAY,71715804.00,128759639.00,6722905000.00,1389648000.00
2022-12-31 00:00:00,CPAY,73356709.00,127802590.00,7036894000.00,1435163000.00
2021-12-31 00:00:00,CPAY,78897846.00,127105396.00,5977667000.00,1520027000.00
2020-12-31 00:00:00,CPAY,83666163.00,126448078.00,4303277000.00,934900000.00
2019-12-31 00:00:00,CPAY,,,,
2023-12-31 00:00:00,CTVA,701260000.00,701260000.00,2489000000.00,2644000000.00
2022-12-31 00:00:00,CTVA,713419000.00,713419000.00,1307000000.00,3191000000.00
2021-12-31 00:00:00,CTVA,726527000.00,726527000.00,1117000000.00,4459000000.00
2020-12-31 00:00:00,CTVA,743458000.00,743458000.00,1105000000.00,3526000000.00
2019-12-31 00:00:00,CTVA,,,,
2023-12-31 00:00:00,CSGP,408100000.00,408100000.00,1110400000.00,5215900000.00
2022-12-31 00:00:00,CSGP,406671000.00,406671000.00,1105600000.00,4968000000.00
2021-12-31 00:00:00,CSGP,394936000.00,394936000.00,1121626000.00,3827126000.00
2020-12-31 00:00:00,CSGP,394140000.00,394140000.00,1143586000.00,3693813000.00
2019-12-31 00:00:00,CSGP,,,,
2024-08-31 00:00:00,COST,443126000.00,443126000.00,8272000000.00,9906000000.00
2023-08-31 00:00:00,COST,442793000.00,442793000.00,8884000000.00,13700000000.00
2022-08-31 00:00:00,COST,442664000.00,442664000.00,9039000000.00,10203000000.00
2021-08-31 00:00:00,COST,441825000.00,441825000.00,10133000000.00,11258000000.00
2023-12-31 00:00:00,CTRA,751000000.00,751000000.00,2526000000.00,956000000.00
2022-12-31 00:00:00,CTRA,768244610.00,768244610.00,2599000000.00,673000000.00
2021-12-31 00:00:00,CTRA,813529625.00,892612010.00,3463000000.00,1036000000.00
2020-12-31 00:00:00,CTRA,398871495.00,477828813.00,1168000000.00,140000000.00
2019-12-31 00:00:00,CTRA,,,,
2024-01-31 00:00:00,CRWD,241865193.00,241865193.00,792874000.00,3375069000.00
2023-01-31 00:00:00,CRWD,235777000.00,235777000.00,783618000.00,2455369000.00
2022-01-31 00:00:00,CRWD,230706000.00,230706000.00,774716000.00,1996633000.00
2021-01-31 00:00:00,CRWD,223724000.00,223724000.00,778992000.00,1918608000.00
2020-01-31 00:00:00,CRWD,,,,
2023-12-31 00:00:00,CCI,433688863.00,433688863.00,28814000000.00,105000000.00
2022-12-31 00:00:00,CCI,433000000.00,433000000.00,27960000000.00,156000000.00
2021-12-31 00:00:00,CCI,432000000.00,432000000.00,27009000000.00,292000000.00
2020-12-31 00:00:00,CCI,431000000.00,431000000.00,25417000000.00,232000000.00
2019-12-31 00:00:00,CCI,,,,
2023-12-31 00:00:00,CSX,1958427685.00,1958427685.00,19024000000.00,1353000000.00
2022-12-31 00:00:00,CSX,2066000000.00,2066000000.00,18535000000.00,1958000000.00
2021-12-31 00:00:00,CSX,2202000000.00,2202000000.00,16844000000.00,2239000000.00
2020-12-31 00:00:00,CSX,2289000000.00,2289000000.00,17160000000.00,3129000000.00
2019-12-31 00:00:00,CSX,,,,
2023-12-31 00:00:00,CMI,141800000.00,222500000.00,7208000000.00,2179000000.00
2022-12-31 00:00:00,CMI,141300000.00,222500000.00,8355000000.00,2101000000.00
2021-12-31 00:00:00,CMI,142500000.00,222500000.00,4613000000.00,2592000000.00
2020-12-31 00:00:00,CMI,147657584.00,222457584.00,4617000000.00,3401000000.00
2019-12-31 00:00:00,CMI,,,,
2023-12-31 00:00:00,CVS,1288000000.00,1768000000.00,79385000000.00,8196000000.00
2022-12-31 00:00:00,CVS,1300000000.00,1758000000.00,70732000000.00,12945000000.00
2021-12-31 00:00:00,CVS,1322000000.00,1744000000.00,75999000000.00,9408000000.00
2020-12-31 00:00:00,CVS,1310000000.00,1733000000.00,85042000000.00,7854000000.00
2023-12-31 00:00:00,DHR,739200000.00,880500000.00,19536000000.00,5864000000.00
2022-12-31 00:00:00,DHR,728300000.00,869300000.00,20616000000.00,5995000000.00
2021-12-31 00:00:00,DHR,715000000.00,855700000.00,23272000000.00,2586000000.00
2020-12-31 00:00:00,DHR,711000000.00,851300000.00,22178000000.00,6035000000.00
2019-12-31 00:00:00,DHR,,,,
2024-05-31 00:00:00,DRI,118862950.00,118862950.00,5427800000.00,194800000.00
2023-05-31 00:00:00,DRI,121070611.00,121070611.00,4793900000.00,367800000.00
2022-05-31 00:00:00,DRI,123946313.00,123946313.00,4887300000.00,420600000.00
2021-05-31 00:00:00,DRI,130762723.00,130762723.00,5202600000.00,1214700000.00
2020-05-31 00:00:00,DRI,,,,
2023-12-31 00:00:00,DVA,88824000.00,88824000.00,11116421000.00,380063000.00
2022-12-31 00:00:00,DVA,90411000.00,90411000.00,11822490000.00,244086000.00
2021-12-31 00:00:00,DVA,97289000.00,111166556.00,11975250000.00,461900000.00
2020-12-31 00:00:00,DVA,109933000.00,126410378.00,11193971000.00,324958000.00
2019-12-31 00:00:00,DVA,,,,
2023-12-31 00:00:00,DAY,156300000.00,156300000.00,1243600000.00,570300000.00
